RecipeID,RecipeMasterID,MaterialMasterID,BomAlternative,ProdIssue,ProdSpecific1,ProdSpecific2,ProdSpecific3,RecipeEdition,RecipeDescription,RecipeStatus,RecipeTypeID,RecipeTypeGlobalName,RecipeTypeLocalName,ProcessTypeID,ProcessTypeName,ParameterID,ParameterName,ParameterType,ParameterGlobalName,ParameterLocalName,ParameterUnitSymbol,ParameterValue,Workcenter,TechOffsetValue,TechOffsetComments,TechOffsetUTCDate,TechOffsetLocalDate,TechOffsetHistoryValueFrom,TechOffsetHistoryValueTo,TechOffsetHistoryComments,TechOffsetHistoryUTCDate,TechOffsetHistoryLocalDate,UserName
147315,147315,9.92671E+11,C1,100,892671414300,0315076000,RE,1,235/45 R18 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190316,TB1_IL_DistanceServicerToDrum,Number,Lay-on position,安装位置_IL,mm,135,TB123,-5,,2026/8/6 18:44,2026/8/7 2:44,-5,-7,,2026/8/6 18:33,2026/8/7 2:33,CGMS_uih68874
147315,147315,9.92671E+11,C1,100,992670596700,0315076000,RE,1,235/45 R18 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190003,TB1_IL_Friction,Number,Lay-on friction IL,IL 安装摩擦,%,100,TB123,-0.5,,2026/8/6 18:33,2026/8/7 2:33,-1,-0.5,,2026/8/6 18:33,2026/8/7 2:33,CGMS_uih68874
147315,147315,9.92671E+11,C1,100,992670596700,0315076000,RE,1,235/45 R18 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190003,TB1_IL_Friction,Number,Lay-on friction IL,IL 安装摩擦,%,100,TB123,-0.5,,2026/8/6 18:33,2026/8/7 2:33,-0.5,-1,,2026/8/6 18:25,2026/8/7 2:25,CGMS_uih68874
136819,136819,9.92671E+11,C1,100,992670596700,0314931000,RE,1,275/50 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190392,TB1_SW_SpeedLayonDrum,Number,Lay-on speed SW,SW 安装速度,m/min,90,TB184,-20,,2026/8/12 23:29,2026/8/13 7:29,-10,-20,,2026/8/6 18:23,2026/8/7 2:23,CGMS_uih69086
136819,136819,9.92671E+11,C1,100,992670596700,0314931000,RE,1,275/50 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190338,TB1_IL_SpeedLayonDrum,Number,Lay-on speed IL,IL 安装速度,m/min,100,TB184,-30,,2026/8/12 23:29,2026/8/13 7:29,-20,-30,,2026/8/6 18:23,2026/8/7 2:23,CGMS_uih69086
167527,167527,9.92671E+11,C1,100,892671414300,1558557000,RE,1,225/45 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190272,TB1_BS_TimeResident,Number,Bead setting time,胎圈芯放置时间,s,0.4,TB131,0.2,,2026/8/6 18:06,2026/8/7 2:06,0,0.2,,2026/8/6 18:06,2026/8/7 2:06,CGMS_uih69091
167527,167527,9.92671E+11,C1,100,992670596700,1558557000,RE,1,225/45 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190269,TB1_BS_TimeBeadFixationDelay,Number,Turn-up rings delay after bladder inflation,胶囊充气后的卷边罩等待时间,s,0.4,TB131,0.3,,2026/8/6 18:06,2026/8/7 2:06,0,0.3,,2026/8/6 18:06,2026/8/7 2:06,CGMS_uih69091
136819,136819,9.92671E+11,C1,100,992670596700,0314931000,RE,1,275/50 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190349,TB1_PL1_SpeedLayonDrum,Number,Lay-on speed PLY 1,PLY 1 安装速度,m/min,110,TB184,-20,,2026/8/6 17:22,2026/8/7 1:22,-10,-20,,2026/8/6 17:22,2026/8/7 1:22,CGMS_uih69086
136819,136819,9.92671E+11,C1,100,992670596700,0314931000,RE,1,275/50 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190338,TB1_IL_SpeedLayonDrum,Number,Lay-on speed IL,IL 安装速度,m/min,100,TB184,-30,,2026/8/12 23:29,2026/8/13 7:29,-10,-20,,2026/8/6 17:22,2026/8/7 1:22,CGMS_uih69086
166004,166004,9.9267E+11,C1,100,992670596700,0356744000,RE,2,225/50 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190260,TB1_BS_PositionSettingBeadRight,Number,Turn-up ring right position bead setting,右卷边罩位置_胎圈芯定位,mm,185,TB132,-1.5,,2026/8/6 17:18,2026/8/7 1:18,-2,-1.5,,2026/8/6 17:18,2026/8/7 1:18,CGMS_uih69094
164441,164441,9.92671E+11,C1,100,892671414300,0316858000,RE,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190260,TB1_BS_PositionSettingBeadRight,Number,Turn-up ring right position bead setting,右卷边罩位置_胎圈芯定位,mm,197,TB151,1,,2026/8/6 16:47,2026/8/7 0:47,0,1,,2026/8/6 16:47,2026/8/7 0:47,CGMS_uih69089
164441,164441,9.92671E+11,C1,100,992670596700,0316858000,RE,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190259,TB1_BS_PositionSettingBeadLeft,Number,Turn-up ring left position bead setting,左卷边罩位置_胎圈芯定位,mm,197,TB151,1,,2026/8/6 16:47,2026/8/7 0:47,0,1,,2026/8/6 16:47,2026/8/7 0:47,CGMS_uih69089
164441,164441,9.92671E+11,C1,100,992670596700,0316858000,RE,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190269,TB1_BS_TimeBeadFixationDelay,Number,Turn-up rings delay after bladder inflation,胶囊充气后的卷边罩等待时间,s,0.4,TB151,0.2,,2026/8/6 16:47,2026/8/7 0:47,0,0.2,,2026/8/6 16:47,2026/8/7 0:47,CGMS_uih69089
164441,164441,9.92671E+11,C1,100,992670596700,0316858000,RE,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190318,TB1_PL1_DistanceServicerToDrum,Number,Lay-on position,安装位置_PLY1,mm,140,TB151,-10,,2026/8/6 16:47,2026/8/7 0:47,0,-10,,2026/8/6 16:47,2026/8/7 0:47,CGMS_uih69089
164441,164441,9.92671E+11,C1,100,992670596700,0316858000,RE,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190316,TB1_IL_DistanceServicerToDrum,Number,Lay-on position,安装位置_IL,mm,140,TB151,-10,,2026/8/6 16:47,2026/8/7 0:47,0,-10,,2026/8/6 16:47,2026/8/7 0:47,CGMS_uih69089
